name,url,,
France3 : Nantes,https://france3-regions.franceinfo.fr/pays-de-la-loire/loire-atlantique/nantes/rss,general,presse
France3 : Nord Pas-de-Calais,https://france3-regions.franceinfo.fr/hauts-de-france/nord-pas-calais/rss,general,presse
France3 : Nord Pas-de-Calais : bluesky,https://bsky.app/profile/did:plc:szbhzsncadyh22lebcvz3qkl/rss,general,presse
France3 : Normandie,https://france3-regions.franceinfo.fr/normandie/actu/rss,general,presse
France3 : Normandie : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UCWiQCbdC05zfzNg83F2kc3A,general,presse
France3 : Nouvelle-Aquitaine,https://france3-regions.franceinfo.fr/nouvelle-aquitaine/actu/rss,general,presse
France3 : Nouvelle-Aquitaine : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UCwTvW0qRQXV-yvBghNVgqKg,general,presse
France3 : Occitanie,https://france3-regions.franceinfo.fr/occitanie/actu/rss,general,presse
France3 : Occitanie : bluesky,https://bsky.app/profile/did:plc:tzxkh66p33axolevd3xdysfi/rss,general,presse
France3 : Occitanie : l'actu de Toulouse : youtube,https://www.youtube.com/feeds/videos.xml?playlist_id=PLjk_2UG-CeKavDZ1hsrsGLLt5krYiUkaj,general,presse
France3 : Occitanie : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UC20dglUTkVqzY9ipx_iOnng,general,presse
France3 : Pays de la Loire,https://france3-regions.franceinfo.fr/pays-de-la-loire/actu/rss,general,presse
France3 : Pays de la Loire : Mayenne,https://france3-regions.franceinfo.fr/pays-de-la-loire/mayenne/rss,general,presse
France3 : Pays de la Loire : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UCazDBRKv_Bh6Gf0ebKbFRPQ,general,presse
France3 : Provence-Alpes Côte d'Azur,https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/actu/rss,general,presse
France3 : Provence-Alpes-Côte d'Azur : société,https://france3-regions.franceinfo.fr/societe/rss?r=provence-alpes-cote-d-azur,general,presse
France3 : Rennes,https://france3-regions.franceinfo.fr/bretagne/ille-et-vilaine/rennes/rss,general,presse
France3 : Toulouse,https://france3-regions.franceinfo.fr/occitanie/haute-garonne/toulouse/rss,general,presse
France3 Bourgogne-Franche-Comté : Montbéliard,https://france3-regions.franceinfo.fr/bourgogne-franche-comte/doubs/pays-de-montbeliard/rss,general,presse
Free Dom,https://freedom.fr/feed/,general,tribune
French morning : Londres,https://london.frenchmorning.com/feed/,general,
Frequenza Nostra : ausha,https://feed.ausha.co/nr0vlHJvw4MO,general,presse
GoogleActu : Bretagne,https://news.google.com/rss/search?tbm=nws&amp;q=when:24h+bretagne&amp;oq=bretagne&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
GoogleActu : Corse,https://news.google.com/rss/search?tbm=nws&amp;q=when:24h+corse&amp;oq=corse&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
GoogleActu : Groenland,https://news.google.com/rss/search?tbm=nws&amp;q=Groenland&amp;oq=Groenland&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
GoogleActu : Hauts-de-France,https://news.google.com/rss/search?tbm=nws&amp;q=Hauts-de-France&amp;oq=Hauts-de-France&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
GoogleActu : Lille,https://news.google.com/rss/search?tbm=nws&amp;q=Lille&amp;oq=Lille&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
GoogleActu : Lyon,https://news.google.com/rss/search?tbm=nws&amp;q=Lyon&amp;oq=Lyon&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
GoogleActu : Marseille,https://news.google.com/rss/search?tbm=nws&amp;q=Marseille&amp;oq=Marseille&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,presse
GoogleActu : Mayotte,https://news.google.com/rss/search?tbm=nws&amp;q=Mayotte&amp;oq=Mayotte&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
GoogleActu : Montpellier,https://news.google.com/rss/search?tbm=nws&amp;q=Montpellier&amp;oq=Montpellier&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
GoogleActu : Nice,https://news.google.com/rss/search?tbm=nws&amp;q=Nice&amp;oq=Nice&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
GoogleActu : Nouvelle-Calédonie,https://news.google.com/rss/search?tbm=nws&amp;q=Nouvelle-Calédonie&amp;oq=Nouvelle-Calédonie&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
GoogleActu : Occitanie,https://news.google.com/rss/search?tbm=nws&amp;q=Occitanie&amp;oq=Occitanie&amp;scoring=n&amp;hl=fr&amp;gl=FR&amp;ceid=FR:fr,general,
