name,url
Sud Ouest - Ligue 1,https://www.sudouest.fr/sport/football/ligue1/rss.xml
Sud Ouest - Ligue 2,https://www.sudouest.fr/sport/football/ligue2/rss.xml
Sud Ouest - Ligue des Champions,https://www.sudouest.fr/sport/football/ligue-des-champions/rss.xml
Sud Ouest - Girondins de Bordeaux,https://www.sudouest.fr/sport/football/girondins-de-bordeaux/rss.xml
Sud Ouest - Rugby,https://www.sudouest.fr/sport/rugby/rss.xml
Sud Ouest - Top 14,https://www.sudouest.fr/sport/rugby/top14/rss.xml
Sud Ouest - Pro D2,https://www.sudouest.fr/sport/rugby/prod2/rss.xml
Sud Ouest - Aviron Bayonnais,https://www.sudouest.fr/sport/rugby/aviron-bayonnais/rss.xml
Sud Ouest - Biarritz Olympique,https://www.sudouest.fr/sport/rugby/biarritz-olympique/rss.xml
Sud Ouest - Union Bordeaux-Bègles,https://www.sudouest.fr/sport/rugby/bordeaux-begles/rss.xml
Sud Ouest - US Dax,https://www.sudouest.fr/sport/rugby/us-dax/rss.xml
Sud Ouest - Basket,https://www.sudouest.fr/sport/basket/rss.xml
Sud Ouest - Boulazac Basket Dordogne,https://www.sudouest.fr/sport/basket/boulazac-basket-dordogne/rss.xml
Sud Ouest - Elan Béarnais,https://www.sudouest.fr/sport/basket/elan-bearnais/rss.xml
Sud Ouest - Section Paloise,https://www.sudouest.fr/sport/rugby/section-paloise/rss.xml
Sud Ouest - Stade Montois,https://www.sudouest.fr/sport/rugby/stade-montois/rss.xml
Sud Ouest - Stade Rochelais,https://www.sudouest.fr/sport/rugby/stade-rochelais/rss.xml
Sud Ouest - SU Agen,https://www.sudouest.fr/sport/rugby/su-agen/rss.xml
